"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"194","9jfa3uck1pm1a27","value_alt_offset",1,2,0.166666666666667,2.78298797947387,0.0511111119887102,"value_alt_offset"
"195","9jfa3uck1pm1a27","value_alt_offset",2,1,0.166666666666667,1.61163300013284,0.0366666714573483,"value_alt_offset"
"196","9jfa3uck1pm1a27","value_alt_offset",2,2,0.166666666666667,3.92654480474143,0.0355555538245751,"value_alt_offset"
"197","9jfa3uck1pm1a27","value_alt_offset",3,1,0.166666666666667,5.1939120210031,0.00833333313974505,"value_alt_offset"
"198","9jfa3uck1pm1a27","value_alt_offset",3,2,0.166666666666667,3.93438666040424,-0.00694444428303354,"value_alt_offset"
"199","9oe8onshjdy2khe","value_alt_offset",1,1,0.5,1.06995884773655,-0.0109790952979599,"perc_offset"
"200","9oe8onshjdy2khe","value_alt_offset",1,2,0.5,1.48148148148151,0.0274103726914119,"value_alt_offset"
"201","9oe8onshjdy2khe","value_alt_offset",2,1,0.5,1.37133755205187,-0.0770370872150751,"value_alt_offset"
"202","9oe8onshjdy2khe","value_alt_offset",2,2,0.5,1.31026774326026,0.0370370371326358,"value_alt_offset"
"203","9oe8onshjdy2khe","value_alt_offset",3,1,0.5,1.11111111111112,0.0123456790123446,"value_alt_offset"
"204","9oe8onshjdy2khe","value_alt_offset",3,2,0.5,1.35802469135799,0.0452674897119383,"value_alt_offset"
"205","9p57f5mpldrqae2","value_alt_offset",1,1,0.166666666666667,1.01144982388985,0.0997222351632288,"value_alt_offset"
"206","9p57f5mpldrqae2","value_alt_offset",1,2,0.166666666666667,2.06130415833526,0.0147222214213316,"value_alt_offset"
"207","9p57f5mpldrqae2","value_alt_offset",2,1,0.166666666666667,2.37268492787432,-0.064166668273448,"value_alt_offset"
"208","9p57f5mpldrqae2","value_alt_offset",2,2,0.166666666666667,2.48725634689822,-0.0950223072477364,"value_alt_offset"
"209","9p57f5mpldrqae2","value_alt_offset",3,1,0.5,1.7695473250996,0.0370370370515927,"value_alt_offset"
"210","9p57f5mpldrqae2","value_alt_offset",3,2,0.166666666666667,4.81481481481415,-0.008263439525104,"value_alt_offset"
"211","a39zpu2zr3xl47k","value_alt_offset",1,1,0.166666666666667,9.99999999999935,0.0100000034410574,"value_alt_offset"
"212","a39zpu2zr3xl47k","value_alt_offset",1,2,0.166666666666667,9.99999999999804,0.00444444407336309,"value_alt_offset"
"213","a39zpu2zr3xl47k","value_alt_offset",2,1,0.166666666666667,9.99999999999978,0.00861111350019184,"value_alt_offset"
"214","a39zpu2zr3xl47k","value_alt_offset",2,2,0.5,9.99999999999944,0.00971167026006992,"value_alt_offset"
"215","a39zpu2zr3xl47k","value_alt_offset",3,1,0.5,9.99999999999978,0.0142437792307435,"value_alt_offset"
"216","a39zpu2zr3xl47k","value_alt_offset",3,2,0.166666666666667,9.99999999999998,0.0100000038848673,"value_alt_offset"
"217","ajztaxb5eyxtfch","value_alt_offset",1,1,0.166666666666667,1.28948940281783,0.0874999979460807,"value_alt_offset"
"218","ajztaxb5eyxtfch","value_alt_offset",1,2,0.166666666666667,1.62422043455735,0.033888894105252,"value_alt_offset"
